source,text,url,,,,,,
facebook,"Yes I support however Ai only helps human to make things faster such as automation of repetition tasks, workflow, process, behavioral temporal analysis and so, however human still govern over AI so that it makes healthcare humanize.",https://www.facebook.com/photo?fbid=122154865694961632&set=gm.27022735664000042&idorvanity=9612195335480678,,,,,,
facebook,"Your doctor thinks they don't need to use AI? 🙄
Cute.

No.

Arrogant.

Thank God they're not all prideful like this.
I follow a doctor who very confidently says other doctors should soon be considered to be engaging in malpractice if they are not using AI to assist them.

.
I mean, you're scared of the risks of AI. I get it.
Well, people were scared of the Internet.

AI will be used to do unspeakable atrocities. True.
The internet is used to do unspeakable atrocities!

If you use AI for ONE thing, at least use it to get a 2nd medical opinion!

For heaven's sake, it's been objectively proven to be better at diagnosing than doctors (with text inputs)... almost 2 years now!

I can't wait until they're all forced to finally humble themselves.
I can't wait until I can tell my doctor ""you're wrong!.. because AI said so,"" and not seem crazy.

But for now the elitist, gatekeeper, cartels still gets to act elite.

You think I'm crazy now.

Maybe thats because you're using the cheap version.

Get GPT 5.1 Pro. It knows 10,000 times what your doctor knows about health,
+ does better at math, physics, art, etc at the same time.
(and there's a way to get it pretty cheap by paying per prompt instead of a $200 monthly fee).

These are horse-and-buggy people with their prize horses... mocking cars because they need gas.

Meanwhile
● Elon Musk says AI that came out 6 months ago is smarter than any individual human in every field, based on passing the hardest tests our smartest humans could come up with. We won't even be able to make tests for them anymore in most subjects, because we won't be smart enough.
● My programmer friend automated his job, so he's working 2 ""full-time"" jobs with free time.

Unfortunately, the ones not recognizing reality and keeping up to date are still the ones still control your treatments.

You think I'm crazy?

Remember this post

Remember it.

It will 100% age well.

Come back in 5 years.

.

Oh..

A.I. still sucks at a lot of things.
I get that.

Assessing data input is not one it.

And it has privacy concerns. I get that.
But I say ""to hell with privacy about our health,"" when people are suffering and dying.

It's not asking for your password when youre talking about your illness. ",https://www.facebook.com/photo/?fbid=10238784525054794&set=a.1065516121217,,,,,,
facebook,"That’s a great question! 😊 AI is actually proving very reliable — studies show it can spot kidney problems up to 48 hours earlier than traditional tests. Tools like Google’s DeepMind and Mayo Clinic’s models analyze subtle data patterns that even doctors might miss early on. Of course, AI doesn’t replace doctors — it just gives them a powerful early-warning system to act faster.",https://www.facebook.com/photo/?fbid=1540955270393374&set=gm.25378151465125145&idorvanity=9612195335480678,,,,,,
facebook,"You Can’t Trust AI
Is AI giving you answers—or just gathering trends?
People are starting to treat AI as if it’s all-knowing, but the reality is much simpler: When it comes to health, AI is just a hodgepodge summary of theories and trends gathered from the internet, many of which are untrue, unhelpful, or even harmful.
When you type in a question about your health, AI isn't giving you the truth—it’s just shoving back the same misinformation that’s already circulating. It’s like Wikipedia in a different package. If you're looking to AI to tell you how to heal, you’re going to get the same misinformation, theories, and marketing hooks that the rest of the industry is pushing.
Healing comes from knowing the actual truth about what’s behind your health struggles.",https://www.facebook.com/reel/755240580890206,,,,,,
facebook,Wikipedia actually has more accuracy than AI because it is just one of many sources AI consults.,https://www.facebook.com/reel/755240580890206,,,,,,
facebook,Sounds like a great plan … let a hallucinating lying equation tell you what to do with your health …. Sure to work out just fine,https://www.facebook.com/photo/?fbid=1416235357219189&set=a.385140500328685,,,,,,
facebook,About as accurate as google ! 🤣🤣🤣,https://www.facebook.com/photo/?fbid=1416235357219189&set=a.385140500328685,,,,,,
facebook,"Good, get rid of AI. I want a human taking care of my needs at all times, at every level.",https://www.facebook.com/photo/?fbid=1907783636526389&set=a.1223460611625365,,,,,,
facebook,"Fuck the client....the customer is entitled to seek second opinion, buy a different provider , or avoid the business....infact service providers shoudl refuse to engage with medical clients whose values do not allign ..",https://www.facebook.com/photo/?fbid=1907783636526389&set=a.1223460611625365,,,,,,
facebook,"We encountered it in urgent care. It left absolute garbage in his legal record of his accident. Fortunately I caught it and sent it to data integrity and also the Dr.’s office to get it fixed immediately, because you know attorneys are going to attack the validity of AI medical records.
I didn’t consent to it when my doctor’s practice had the consent separated out. Nope nope nope. Never. I need my records to be accurate.",https://www.facebook.com/photo/?fbid=1907783636526389&set=a.1223460611625365,,,,,,
