source_platform,id,preprocessed_text,collection_method,has_ai_keyword,has_health_keyword,needs_classification,needs_language_detection
facebook,07f0604b0320ff0d573ec2be,"Yes I support however Ai only helps human to make things faster such as automation of repetition tasks, workflow, process, behavioral temporal analysis and so, however human still govern over AI so that it makes healthcare humanize.",manual_csv,True,True,True,True
facebook,31ec1f3cff5b33523f5bff6e,"Your doctor thinks they don't need to use AI? 🙄 Cute. No. Arrogant. Thank God they're not all prideful like this. I follow a doctor who very confidently says other doctors should soon be considered to be engaging in malpractice if they are not using AI to assist them. . I mean, you're scared of the risks of AI. I get it. Well, people were scared of the Internet. AI will be used to do unspeakable atrocities. True. The internet is used to do unspeakable atrocities! If you use AI for ONE thing, at least use it to get a 2nd medical opinion! For heaven's sake, it's been objectively proven to be better at diagnosing than doctors (with text inputs)... almost 2 years now! I can't wait until they're all forced to finally humble themselves. I can't wait until I can tell my doctor ""you're wrong!.. because AI said so,"" and not seem crazy. But for now the elitist, gatekeeper, cartels still gets to act elite. You think I'm crazy now. Maybe thats because you're using the cheap version. Get GPT 5.1 Pro. It knows 10,000 times what your doctor knows about health, + does better at math, physics, art, etc at the same time. (and there's a way to get it pretty cheap by paying per prompt instead of a $200 monthly fee). These are horse-and-buggy people with their prize horses... mocking cars because they need gas. Meanwhile ● Elon Musk says AI that came out 6 months ago is smarter than any individual human in every field, based on passing the hardest tests our smartest humans could come up with. We won't even be able to make tests for them anymore in most subjects, because we won't be smart enough. ● My programmer friend automated his job, so he's working 2 ""full-time"" jobs with free time. Unfortunately, the ones not recognizing reality and keeping up to date are still the ones still control your treatments. You think I'm crazy? Remember this post Remember it. It will 100% age well. Come back in 5 years. . Oh.. A.I. still sucks at a lot of things. I get that. Assessing data input is not one it. And it has privacy concerns. I get that. But I say ""to hell with privacy about our health,"" when people are suffering and dying. It's not asking for your password when youre talking about your illness.",manual_csv,True,True,True,True
facebook,aa0279e92916c3eb83c75591,"That’s a great question! 😊 AI is actually proving very reliable — studies show it can spot kidney problems up to 48 hours earlier than traditional tests. Tools like Google’s DeepMind and Mayo Clinic’s models analyze subtle data patterns that even doctors might miss early on. Of course, AI doesn’t replace doctors — it just gives them a powerful early-warning system to act faster.",manual_csv,True,True,True,True
facebook,d661c6fe24c1eefb0855b152,"You Can’t Trust AI Is AI giving you answers—or just gathering trends? People are starting to treat AI as if it’s all-knowing, but the reality is much simpler: When it comes to health, AI is just a hodgepodge summary of theories and trends gathered from the internet, many of which are untrue, unhelpful, or even harmful. When you type in a question about your health, AI isn't giving you the truth—it’s just shoving back the same misinformation that’s already circulating. It’s like Wikipedia in a different package. If you're looking to AI to tell you how to heal, you’re going to get the same misinformation, theories, and marketing hooks that the rest of the industry is pushing. Healing comes from knowing the actual truth about what’s behind your health struggles.",manual_csv,True,True,True,True
facebook,e835dccd1bfb702be9791c92,Wikipedia actually has more accuracy than AI because it is just one of many sources AI consults.,manual_csv,True,False,True,True
facebook,b71e335daab427f4b84d436a,Sounds like a great plan … let a hallucinating lying equation tell you what to do with your health …. Sure to work out just fine,manual_csv,False,True,True,True
facebook,1e4d09c7170013447904113b,About as accurate as google ! 🤣🤣🤣,manual_csv,False,False,True,True
facebook,fdd89d96c9c29f24050982ff,"Good, get rid of AI. I want a human taking care of my needs at all times, at every level.",manual_csv,True,False,True,True
facebook,9899e2c3d6229902db98d912,"Fuck the client....the customer is entitled to seek second opinion, buy a different provider , or avoid the business....infact service providers shoudl refuse to engage with medical clients whose values do not allign ..",manual_csv,False,True,True,True
facebook,cbec489aa66ee96bbe2119f9,"We encountered it in urgent care. It left absolute garbage in his legal record of his accident. Fortunately I caught it and sent it to data integrity and also the Dr.’s office to get it fixed immediately, because you know attorneys are going to attack the validity of AI medical records. I didn’t consent to it when my doctor’s practice had the consent separated out. Nope nope nope. Never. I need my records to be accurate.",manual_csv,True,True,True,True
facebook,6186522f02bceab5144db8d1,I used Claude AI to translate the entire blood test lab reports into English. It works great! Much quicker than googling individual terms!,manual_csv,True,True,True,True
facebook,0277fb9dda2432296f1cd556,"AI is willing to explain and discuss issues without insurance-imposed time limit, and ultimately have access to the entire range of conditions and therapies across the Internet that may not be available to PCPs. Specialists are even more jealous of their time.",manual_csv,True,True,True,True
facebook,b937b2493cf7ffd0a4a8d472,I don't ask ChatGPT about symptoms. I give a time line of tracked symptoms and then I upload my labs and ask questions.,manual_csv,True,True,True,True
facebook,d55400067cb76611ee73c9b1,I love mine for my health and diet Your gotta be logical I am going throu my docs of course But for simple stuff like I take a pic of my seating position and tell it I have costochondritis and it tells me about my position and how it makes it worse I listen and it gets better Helps with exercise Best foods for reflux As I show it pic of my food and say is that ok today for my health condition. I always cross match what it says with google and my docs,manual_csv,False,True,True,True
facebook,ff194730a4f9e800310299c6,"Gusto ko lang po na makatulong sa mga may DEPRESYON. Sa hirap ng buhay ngayon, marami ang nadedepress. Ayon sa mga dalubhasa ang mga may depresyon dapat daw palaging may kausap o, dapat palaging kinakausap pero paano kung WALA SIYANG MAKAUSAP o, walang kumakausap sa kanya? Sabi ni Chatgpt, makakatulong siya sa mga may depresyon na mabawasan ang kanilang depresyon dahil palagi siyang handang makipag-usap, makinig at magpayo mula sa Bibliya na bukod tanging mapagkukunan ng tunay na sagot sa mga prolema natin dahil ang mga mabubuting payo dito ay mula sa Diyos. Kung may depresyon ka, sabihin mo kay Chatgpt ang mga problema mo at humingi ng payo mula sa Bibliya. Pa-likes ang shares baka po makatulong tayo sa mga may depresyon.",manual_csv,True,False,True,True
facebook,822cf38d4263bb5e872675a9,Just sharing this from chat gpt I've been so down and depressed lately on and off I'm 22 yrs old single mom and graduates na din Sana ngayon but I failed some subjects so another year nanaman and na diagnosed ako ng depression last Last year and since then until now nag t take ako ng med Pati pampatulog last month nadagdagan dahil sa anxiety and follow up ko Sana last week but Currently dahil s abagyo na urong ng na urong so wala ako mapagsabihan ng thoughts and feelings ko and naisipan ko maglabas at makipag usap Kay chatgpt waiting nalang sa follow up ko ngayon month super thankful talaga ako Kay chat gpt sa pagpapagaan niya ng loob ko Pag cla clarify sa mga iniisip ko,manual_csv,True,True,True,True
facebook,2c0b82f183ceaec2a32995af,"Hello. Baka lang po makatulong. I talk to chatgpt. So far, nakakatulong naman po lalo na sa pag-iintindi sa sarili ko, emosyon, and how my mind works. Need lang po talagang at least close to precise ang prompt o query, like explaining how you feel, takbo ng isip, mga sa tingin niyong dahilan ng anxiety o kaba o nerbyos. Clinically diagnosed po ako ng GAD, Depression, at PTSD. I use chatgpt for journaling na may kausap. And chatgpt as tool help me understand. Pero hindi ko po sinasabing ito ang sagot. Pwede rin pong malito tayo, at magkaroon ng tendency ng self-diagnosis lalo na kung nakaka-relate tayo sa sinasabi ng AI. Aim ko lang po na masubukan ninyo, especially kung need niyo ng kausap na walang panghuhusga at objective. Pero mainam pa rin po to seek professional help para po pulido ang assessment at tamang management.",manual_csv,True,True,True,True
facebook,588579ae2233c62b98356b5a,"Wag mag Google, chatgpt at Facebook! Diretso na sa doctor pag may health concerns.",manual_csv,True,True,True,True
facebook,2da4fa7948f0897f94490edc,I use chatgpt po kapag hindi ako sigurado kung mataas sa sugar ang pagkain tinatanong ko lang. try niyo po e download laking tulong po.,manual_csv,True,False,True,True
